id,start,end,computed,needs_recompute,num_retplayers,num_newplayers,num_games,dom_p,dom_t,dom_z
144,2015-08-20,2015-09-02,t,f,558,58,1884,0.970240378477357,1.02308461989637,1.00667500162627
145,2015-09-03,2015-09-16,t,f,675,120,2296,0.949883895723201,1.04094758896681,1.00916851530999
146,2015-09-17,2015-09-30,t,f,725,92,2900,0.964942563719328,1.03275666647456,1.00230076980612
147,2015-10-01,2015-10-14,t,f,616,44,2130,0.971114173277228,1.0125328987033,1.01635292801947
148,2015-10-15,2015-10-28,t,f,602,38,2955,0.95201240078718,1.03761227145264,1.01037532776018
149,2015-10-29,2015-11-11,t,f,356,13,1147,0.964276723805032,1.02734944794965,1.00837382824532
150,2015-11-12,2015-11-25,t,f,500,47,2576,0.946360346854832,1.04695763318439,1.00668201996078
151,2015-11-26,2015-12-09,t,f,527,45,2257,0.942612277884025,1.07008644111513,0.987301281000847
152,2015-12-10,2015-12-23,t,f,583,81,2618,0.968302049220489,1.02299767767876,1.00870027310075
153,2015-12-24,2016-01-06,t,f,474,20,1387,0.927230322948242,1.06131986185227,1.01144981519949
154,2016-01-07,2016-01-20,t,f,751,109,3446,0.934431556714745,1.04576883958196,1.01979960370329
155,2016-01-21,2016-02-03,t,f,1006,180,6163,0.963042691129374,1.01199250736168,1.02496480150895
156,2016-02-04,2016-02-17,t,f,822,63,4410,0.95862181826437,1.00330054923491,1.03807763250072
157,2016-02-18,2016-03-02,t,f,650,55,3457,0.955101920779227,1.02238130616003,1.02251677306075
158,2016-03-03,2016-03-16,t,f,655,64,2617,0.955446312696108,1.02483978075571,1.01971390654819
159,2016-03-17,2016-03-30,t,f,660,67,3679,0.954986439093263,1.02199609553845,1.02301746536829
160,2016-03-31,2016-04-13,t,f,659,82,4019,0.979093954471038,1.02057532753408,1.00033071799488
